Hanoi;Vietnam;hanoi;hanoi;2316772;hanoi0;21.02;105.87;1;64
Harare;Zimbabwe;harare;harare;1725976;harare0;-17.82935;31.05389;1;65
Havana;Cuba;havana;havana;2135498;havana0;23.13302;-82.38304;1;66
Helsinki;Finland;helsinki;helsinki;588549;helsinki0;60.16952;24.93545;1;67
Honiara;Solomon Islands;honiara;honiara;64609;honiara0;-9.47;159.82;1;68
Islamabad;Pakistan;islamabad;islamabad;689249;islamabad0;33.72148;73.04329;1;69
Jakarta;Indonesia;jakarta;jakarta;9607787;jakarta0;-6.21462;106.84513;1;70
Jerusalem;Israel;jerusalem;jerusalem;788100;jerusalem0;31.77902;35.2253;1;71
Juba;South Sudan;juba;juba;230195;juba0;4.85;31.6;1;72
Kabul;Afghanistan;kabul;kabol;2938300;kabul0;34.52813;69.17233;1;73
Kampala;Uganda;kampala;kampala;1597900;kampala0;0.31628;32.58219;1;74
Kathmandu;Nepal;kathmandu;kathmandu;989273;kathmandu0;27.70169;85.3206;1;75
Khartoum;Sudan;khartoum;khartoum;1410858;khartoum0;15.54665;32.53361;1;76
Kiev;Ukraine;kiev;kyiv;2785131;kiev0;50.45466;30.5238;1;77
Kigali;Rwanda;kigali;kigali;1029384;kigali0;-1.94995;30.05885;1;78
Kingston;Jamaica;kingston;kingston;579137;kingston0;17.98;-76.8;1;79
Kingstown;St. Vincent and the Grenadines;kingstown;kingstown;26721;kingstown0;13.17;-61.23;1;80
Kinshasa;Dem Republic of the Congo;kinshasa;kinshasa;7273947;kinshasa0;-4.36;15.3;1;81
Kuala Lumpur;Malaysia;kuala_lumpur;kuala_lumpur;1627172;kuala_lumpur0;3.1412;101.68653;1;82
Kuwait City;Kuwait;kuwait_city;kuwait;57673;kuwait_city0;29.37;47.98;1;83
La Paz;Bolivia;la_paz;la_paz;835400;la_paz0;-16.5;-68.15;1;84
Libreville;Gabon;libreville;libreville;591356;libreville0;0.38333;9.45;1;85
Lilongwe;Malawi;lilongwe;lilongwe;674448;lilongwe0;-13.98333;33.78333;1;86
Lima;Peru;lima;lima;8472935;lima0;-12.04318;-77.02824;1;87
Lisbon;Portugal;lisbon;lisboa;489562;lisbon0;38.71667;-9.13333;1;88
Ljubljana;Slovenia;ljubljana;ljubljana;272220;ljubljana0;46.05108;14.50513;1;89
Lome;Togo;lome;lome;837437;lome0;6.13748;1.21227;1;90
London;United Kingdom;london;london;7619800;london0;51.50853;-0.12574;1;91
Luanda;Angola;luanda;luanda;2583981;luanda0;-8.8368;13.23317;1;92
Lusaka;Zambia;lusaka;lusaka;1742979;lusaka0;-15.40809;28.28636;1;93
Luxembourg;Luxembourg;luxembourg;luxembourg;107247;luxembourg0;49.61;6.13;1;94
Madrid;Spain;madrid;madrid;3265038;madrid0;40.4165;-3.70256;1;95
Majuro;Marshall Islands;majuro;majuro;0;majuro0;7.07;171.27;1;96
Malabo;Equatorial Guinea;malabo;malabo;155963;malabo0;3.75;8.78333;1;97
Male;Maldives;male;male;109635;male0;4.175;73.5089;1;98
Managua;Nicaragua;managua;managua;908892;managua0;12.13282;-86.2504;1;99
Manama;Bahrain;manama;manama;157474;manama0;26.21536;50.5832;1;100
Manila;Philippines;manila;manila;1660714;manila0;14.6042;120.9822;1;101
Maputo;Mozambique;maputo;maputo;1094628;maputo0;-25.96528;32.58917;1;102
Maseru;Lesotho;maseru;maseru;197907;maseru0;-29.31667;27.48333;1;103
Mbabane;Swaziland;mbabane;mbabane;95000;mbabane0;-26.32;31.13;1;104
Melekeok;Palau;melekeok;ngerulmud;0;melekeok0;7.48;134.6;1;105
Mexico City;Mexico;mexico_city;mexico_city;8555272;mexico_city0;19.42847;-99.12766;1;106
Minsk;Belarus;minsk;minsk;1864090;minsk0;53.9;27.56667;1;107
Mogadishu;Somalia;mogadishu;mogadishu;1579041;mogadishu0;2.03711;45.34375;1;108
Monaco;Monaco;monaco;monaco;32965;monaco0;43.73;7.42;1;109
Monrovia;Liberia;monrovia;monrovia;1021762;monrovia0;6.30054;-10.7969;1;110
Montevideo;Uruguay;montevideo;montevideo;1236011;montevideo0;-34.83346;-56.16735;1;111
Moroni;Comoros;moroni;moroni;40050;moroni0;-11.75;43.2;1;112
Moscow;Russia;moscow;moskva;11514330;moscow0;55.75222;37.61556;1;113
Muscat;Oman;muscat;muskat;19891;muscat0;23.61;58.54;1;114
Nairobi;Kenya;nairobi;nairobi;3133518;nairobi0;-1.28333;36.81667;1;115
Nassau;Bahamas;nassau;nassau;248948;nassau0;25.05823;-77.34306;1;116
Naypyidaw;Myanmar;naypyidaw;naypyidaw;925000;naypyidaw0;19.75;96.1;1;117
NDjamena;Chad;ndjamena;ndjamena;993492;ndjamena0;12.11;15.04;1;118
New Delhi;India;new_delhi;new_delhi;249998;new_delhi0;28.63576;77.22445;1;119
Niamey;Niger;niamey;niamey;980478;niamey0;13.5125;2.11178;1;120
Nicosia;Cyprus;nicosia;nicosia;238574;nicosia0;35.16667;33.36667;1;121
Nouakchott;Mauritania;nouakchott;nouakchott;822207;nouakchott0;18.10033;-15.94975;1;122
