Riyadh;saudi_arabia;riyadh;riyadh;7500000;riyadh0;24.68773;46.72185;1;66
Qingdao;china;qingdao;tsingtao;7450000;qingdao0;36.09861;120.37194;17;67
San Francisco;united_states;san_francisco;san_jose;7450000;san_francisco0;37.7793;-122.4192;8;68
Ningbo;china;ningbo;ningbo;7300000;ningbo0;29.87819;121.54945;18;69
Hong Kong;china;hong_kong;kowloon;7250000;hong_kong0;22.28552;114.15769;19;70
Hanoi;vietnam;hanoi;hanoi;7150000;hanoi0;21.02;105.87;2;71
Houston;united_states;houston;houston;7050000;houston0;29.7803285;-95.386379;9;72
Khartoum;sudan;khartoum;khartoum;7050000;khartoum0;15.54665;32.53361;1;73
Bandung;indonesia;bandung;bandung;6950000;bandung0;-6.90389;107.61861;2;74
Abidjan;cote_divoire;abidjan;abidjan;6800000;abidjan0;5.34111;-4.02806;1;75
Nairobi;kenya;nairobi;nairobi;6700000;nairobi0;-1.28333;36.81667;1;76
Madrid;spain;madrid;madrid;6650000;madrid0;40.4165;-3.70256;1;77
Accra;ghana;accra;accra;6600000;accra0;5.55602;-0.1969;1;78
Jinan;china;jinan;jinan;6550000;jinan0;36.66833;116.99722;20;79
Kunming;china;kunming;kunming;6500000;kunming0;25.03889;102.71833;21;80
St Petersburg;russia;st_petersburg;saintpetersburg;6500000;st_petersburg0;59.89444;30.26417;2;81
Miami;united_states;miami;miami;6300000;miami0;25.7753299;-80.209813;10;82
Dar es Salaam;tanzania;dar_es_salaam;dar_es_salaam;6250000;dar_es_salaam0;-6.82349;39.26951;1;83
Alexandria;egypt;alexandria;alexandria;6200000;alexandria0;31.2;29.9;2;84
Shijiazhuang;china;shijiazhuang;shijiazhuang;6200000;shijiazhuang0;38.04139;114.47861;22;85
Yangon;myanmar;yangon;rangoon;6150000;yangon0;16.79;96.15;1;86
Atlanta;united_states;atlanta;atlanta;6100000;atlanta0;33.7629966;-84.422883;11;87
Milan;italy;milan;milan;6100000;milan0;45.47;9.2;1;88
Amman;jordan;amman;amman;6000000;amman0;31.95522;35.94503;1;89
Monterrey;mexico;monterrey;monterrey;6000000;monterrey0;25.66667;-100.31667;2;90
Dubai;united_arab_emirates;dubai;dubai;5950000;dubai0;25.25817;55.30472;1;91
Taiyuan;china;taiyuan;taiyuan;5950000;taiyuan0;37.86944;112.56028;23;92
Surabaya;indonesia;surabaya;surabaya;5900000;surabaya0;-7.24917;112.75083;3;93
Guadalajara;mexico;guadalajara;zapopan;5850000;guadalajara0;20.66667;-103.33333;3;94
Detroit;united_states;detroit;detroit;5750000;detroit0;42.3830928;-83.1021457;12;95
Ruhr;germany;ruhr;essen;5650000;ruhr0;51.5;7.5;1;96
Bamako;mali;bamako;bamako;5450000;bamako0;12.65;-8;1;97
Harbin;china;harbin;harbin;5450000;harbin0;45.75;126.65;24;98
Dalian;china;dalian;dairen;5300000;dalian0;38.91222;121.60222;25;99
Nanning;china;nanning;nanning;5300000;nanning0;22.81667;108.31667;26;100
Kano;nigeria;kano;kano;5200000;kano0;11.99435;8.51381;2;101
Ankara;turkey;ankara;ankara;5150000;ankara0;39.91987;32.85427;2;102
Wenzhou;china;wenzhou;wenzhou;5100000;wenzhou0;27.99942;120.66682;27;103
Changchun;china;changchun;changchun;5050000;changchun0;43.88;125.32278;28;104
Guiyang;china;guiyang;guiyang;5050000;guiyang0;26.58333;106.71667;29;105
Kabul;afghanistan;kabul;kabol;5050000;kabul0;34.52813;69.17233;1;106
Chittagong;bangladesh;chittagong;chittagong;5000000;chittagong0;22.33306;91.83639;2;107
Cologne;germany;cologne;koln;5000000;cologne0;50.93333;6.95;2;108
Melbourne;australia;melbourne;melbourne;5000000;melbourne0;-37.814;144.96332;1;109
Cape Town;south_africa;cape_town;cape_town;4975000;cape_town0;-33.91667;18.41667;2;110
Nanchang;china;nanchang;nanchang;4975000;nanchang0;28.68333;115.88333;30;111
Sydney;australia;sydney;sydney;4975000;sydney0;-33.86785;151.20732;2;112
Belo Horizonte;brazil;belo_horizonte;belo_horizonte;4925000;belo_horizonte0;-19.92083;-43.93778;3;113
Colombo;sri_lanka;colombo;colombo;4925000;colombo0;6.93194;79.84778;1;114
Tampa;united_states;tampa;st_petersburg;4925000;tampa0;27.968016;-82.476411;13;115
Phoenix;united_states;phoenix;phoenix;4900000;phoenix0;33.5723552;-112.08857;14;116
Barcelona;spain;barcelona;barcelona;4875000;barcelona0;41.38879;2.15899;2;117
Berlin;germany;berlin;berlin;4850000;berlin0;52.52437;13.41053;3;118
Urumqi;china;urumqi;urumqi;4850000;urumqi0;43.8;87.58;31;119
Casablanca;morocco;casablanca;casablanca;4775000;casablanca0;33.59278;-7.61916;1;120
Kuwait City;kuwait;kuwait;kuwait;4775000;kuwait0;29.36972;47.97833;1;121
Addis Ababa;ethiopia;addis_ababa;addisabeba;4725000;addis_ababa0;9.03;38.74;1;122
Fuzhou;china;fuzhou;fuzhou;4650000;fuzhou0;26.06139;119.30611;32;123
Seattle;united_states;seattle;seattle;4475000;seattle0;47.6204865;-122.35103;15;124
Linyi;china;linyi;linyi;4450000;linyi0;35.06306;118.34278;33;125
Montreal;canada;montreal;montreal;4425000;montreal0;45.50884;-73.58781;2;126
